date_utc,price_usd,high_usd,low_usd,source
2025-03-25,0.999800,1.000000,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-03-26,0.999900,1.000000,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-03-27,1.000300,1.000400,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-03-28,1.000400,1.000900,1.000100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-03-29,1.000400,1.000500,1.000300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-03-30,1.000100,1.000400,1.000000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-03-31,1.000100,1.000300,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-01,1.000000,1.000300,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-02,1.000200,1.000300,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-03,1.000400,1.000500,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-04,1.000400,1.000500,1.000000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-05,1.000400,1.000400,1.000200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-06,1.000700,1.001100,1.000200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-07,1.000400,1.001200,1.000300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-08,1.000800,1.001200,1.000200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-09,1.000200,1.000900,1.000100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-10,1.000700,1.000800,1.000200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-11,1.000400,1.000800,1.000300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-12,1.000100,1.000500,1.000100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-13,1.000300,1.000400,1.000100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-14,1.000000,1.000400,1.000000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-04-15,1.000000,1.000200,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
